65

Device		5			Channel		5			
Start Test Time		2018.02.25 22:17:26			End Test Time					
Nda File Name		C:\Users\Hydrophilix\Desktop\TC53\_COM5\data\20180225_221726_06_5.nda								

Cycle Data
Cycle ID	Cap_Chg	Cap_DChg	RCap_Chg	RCap_DChg	Efficiency	Engy_Chg	Engy_DChg	
69	1.909	1.909	123.134	123.150	100.01	7.619	7.012	
70	1.907	1.908	123.033	123.075	100.03	7.620	7.004	
71	1.907	1.908	123.009	123.075	100.05	7.615	7.005	
72	1.905	1.905	122.882	122.925	100.04	7.612	6.995	
73	1.904	1.905	122.869	122.925	100.05	7.609	6.997	
74	1.904	1.905	122.832	122.900	100.06	7.607	6.994	
75	1.904	1.905	122.813	122.875	100.05	7.606	6.994	
76	1.903	1.896	122.755	122.300	99.63	7.603	6.962	
77	1.902	1.903	122.742	122.800	100.05	7.602	6.987	
78	1.902	1.902	122.682	122.725	100.04	7.599	6.981	
79	1.901	1.902	122.616	122.700	100.07	7.595	6.980	
80	1.900	1.901	122.584	122.650	100.05	7.594	6.977	
81	1.900	1.902	122.610	122.701	100.07	7.593	6.985	
82	1.901	1.901	122.627	122.676	100.04	7.591	6.982	
83	1.900	1.900	122.562	122.602	100.03	7.589	6.975	
84	1.898	1.900	122.443	122.560	100.10	7.583	6.972	
85	1.897	1.898	122.413	122.479	100.05	7.582	6.966	
86	1.897	1.898	122.373	122.450	100.06	7.582	6.964	
87	1.897	1.898	122.386	122.425	100.03	7.579	6.962	
88	1.895	1.896	122.274	122.350	100.06	7.579	6.959	
89	1.896	1.897	122.306	122.379	100.06	7.576	6.962	
90	1.895	1.896	122.276	122.353	100.06	7.574	6.960	
91	1.895	1.895	122.242	122.276	100.03	7.571	6.954	
92	1.894	1.895	122.195	122.276	100.07	7.570	6.956	
93	1.894	1.894	122.184	122.175	99.99	7.566	6.941	
94	1.891	1.893	122.023	122.150	100.10	7.566	6.946	
95	1.890	1.891	121.964	121.975	100.01	7.560	6.929	
96	1.881	1.896	121.380	122.325	100.78	7.524	6.957	
97	1.904	1.888	122.867	121.800	99.13	7.607	6.925	
98	1.891	1.890	121.981	121.950	99.97	7.556	6.929	
99	1.889	1.889	121.852	121.875	100.02	7.554	6.922	
100	1.887	1.888	121.756	121.800	100.04	7.550	6.917	
101	1.887	1.887	121.714	121.725	100.01	7.547	6.908	
102	1.884	1.886	121.548	121.650	100.08	7.542	6.907	
103	1.885	1.887	121.640	121.725	100.07	7.540	6.915	
104	1.885	1.886	121.605	121.650	100.04	7.539	6.910	
105	1.883	1.884	121.492	121.525	100.03	7.534	6.896	
106	1.881	1.882	121.353	121.400	100.04	7.531	6.887	
107	1.880	1.881	121.306	121.350	100.04	7.530	6.883	
108	1.878	1.881	121.190	121.325	100.11	7.525	6.883	
109	1.879	1.881	121.244	121.350	100.09	7.523	6.886	
110	1.879	1.880	121.239	121.300	100.05	7.523	6.883	
111	1.878	1.879	121.168	121.225	100.05	7.521	6.875	
112	1.800	1.877	116.146	121.100	104.27	7.197	6.864	
113	1.874	1.875	120.914	121.000	100.07	7.511	6.857	
114	1.873	1.875	120.850	120.975	100.10	7.508	6.858	
115	1.875	1.905	120.948	122.927	101.64	7.509	6.984	
116	1.875	1.876	120.940	121.025	100.07	7.507	6.863	
117	1.872	1.873	120.801	120.850	100.04	7.502	6.848	
118	1.871	1.872	120.707	120.800	100.08	7.501	6.843	
119	1.870	1.870	120.622	120.675	100.04	7.497	6.833	
120	1.869	1.871	120.550	120.700	100.12	7.494	6.838	
121	1.871	1.873	120.691	120.850	100.13	7.496	6.856	
122	1.871	1.873	120.734	120.825	100.08	7.494	6.851	
123	1.870	1.870	120.631	120.675	100.04	7.491	6.839	
124	1.868	1.869	120.514	120.575	100.05	7.488	6.829	
125	1.866	1.867	120.362	120.475	100.09	7.482	6.821	
126	1.866	1.869	120.415	120.575	100.13	7.486	6.837	
127	1.869	1.871	120.560	120.700	100.12	7.484	6.849	
128	1.868	1.869	120.492	120.550	100.05	7.480	6.833	
129	1.867	1.869	120.451	120.575	100.10	7.480	6.839	
130	1.868	1.869	120.492	120.550	100.05	7.478	6.835	
131	1.867	1.868	120.421	120.500	100.07	7.478	6.832	
132	1.867	1.869	120.426	120.550	100.10	7.476	6.838	
133	1.865	1.865	120.330	120.350	100.02	7.472	6.819	
134	1.865	1.934	120.294	124.755	103.71	7.470	7.080	
135	1.863	1.865	120.176	120.300	100.10	7.466	6.814	
136	1.863	1.865	120.217	120.350	100.11	7.466	6.822	
137	1.863	1.865	120.220	120.300	100.07	7.466	6.820	
138	1.863	1.864	120.204	120.275	100.06	7.465	6.816	
139	1.860	1.862	120.009	120.100	100.08	7.457	6.803	
140	1.861	1.863	120.073	120.175	100.08	7.457	6.810	
141	1.860	1.861	120.014	120.075	100.05	7.456	6.802	
142	1.859	1.861	119.953	120.075	100.10	7.452	6.802	
143	1.859	1.860	119.911	120.000	100.07	7.450	6.798	
144	1.859	1.860	119.946	120.000	100.05	7.451	6.797	
145	1.857	1.859	119.835	119.925	100.08	7.447	6.791	
146	1.856	1.858	119.739	119.850	100.09	7.440	6.784	
147	1.855	1.857	119.697	119.800	100.09	7.442	6.781	
148	1.855	1.856	119.663	119.750	100.07	7.439	6.780	
149	1.855	1.857	119.694	119.800	100.09	7.438	6.785	
150	1.855	1.857	119.695	119.800	100.09	7.437	6.788	
