65

Device		5			Channel		5			
Start Test Time		2018.02.25 22:17:26			End Test Time					
Nda File Name		C:\Users\Hydrophilix\Desktop\TC53\_COM5\data\20180225_221726_06_5.nda								

Cycle Data
Cycle ID	Cap_Chg	Cap_DChg	RCap_Chg	RCap_DChg	Efficiency	Engy_Chg	Engy_DChg	
1	2.016	1.999	130.038	128.950	99.16	7.994	7.399	
2	1.999	1.995	128.997	128.700	99.77	7.936	7.384	
3	1.993	1.990	128.586	128.400	99.86	7.918	7.366	
4	1.992	1.990	128.496	128.375	99.91	7.908	7.369	
5	1.989	1.986	128.315	128.150	99.87	7.897	7.351	
6	1.986	1.984	128.132	128.025	99.92	7.891	7.349	
7	1.983	1.981	127.921	127.775	99.89	7.877	7.323	
8	1.978	1.976	127.606	127.500	99.92	7.866	7.298	
9	1.974	1.973	127.349	127.275	99.94	7.856	7.284	
10	1.972	1.972	127.255	127.200	99.96	7.850	7.286	
11	1.971	1.970	127.143	127.075	99.95	7.845	7.269	
12	1.967	1.966	126.896	126.825	99.94	7.835	7.253	
13	1.964	1.963	126.695	126.625	99.94	7.827	7.236	
14	1.960	1.960	126.483	126.450	99.97	7.817	7.221	
15	1.959	1.959	126.379	126.400	100.02	7.813	7.226	
16	1.963	1.964	126.645	126.725	100.06	7.814	7.265	
17	1.964	1.963	126.680	126.650	99.98	7.807	7.256	
18	1.961	1.961	126.538	126.500	99.97	7.803	7.244	
19	1.959	1.958	126.400	126.350	99.96	7.797	7.233	
20	1.957	1.957	126.269	126.250	99.98	7.791	7.226	
21	1.956	1.956	126.181	126.200	100.02	7.787	7.225	
22	1.957	1.957	126.247	126.250	100.00	7.785	7.233	
23	1.955	1.955	126.136	126.100	99.97	7.778	7.219	
24	1.953	1.952	125.984	125.950	99.97	7.773	7.209	
25	1.950	1.951	125.810	125.875	100.05	7.764	7.203	
26	1.950	1.950	125.780	125.800	100.02	7.762	7.197	
27	1.949	1.949	125.714	125.725	100.01	7.760	7.192	
28	1.947	1.947	125.617	125.600	99.99	7.755	7.183	
29	1.946	1.946	125.546	125.550	100.00	7.751	7.179	
30	1.943	1.944	125.370	125.400	100.02	7.742	7.166	
31	1.943	1.943	125.339	125.350	100.01	7.742	7.163	
32	1.941	1.941	125.234	125.225	99.99	7.737	7.153	
33	1.940	1.940	125.165	125.175	100.01	7.733	7.151	
34	1.939	1.940	125.101	125.175	100.06	7.728	7.153	
35	1.938	1.938	125.011	125.025	100.01	7.723	7.140	
36	1.936	1.936	124.909	124.900	99.99	7.720	7.128	
37	1.933	1.934	124.737	124.750	100.01	7.714	7.116	
38	1.932	1.932	124.613	124.625	100.01	7.709	7.105	
39	1.931	1.932	124.556	124.650	100.08	7.707	7.113	
40	1.932	1.933	124.661	124.700	100.03	7.705	7.120	
41	1.931	1.931	124.559	124.575	100.01	7.699	7.107	
42	1.929	1.929	124.448	124.475	100.02	7.697	7.099	
43	1.927	1.928	124.350	124.375	100.02	7.693	7.091	
44	1.926	1.927	124.264	124.300	100.03	7.690	7.085	
45	1.926	1.929	124.275	124.425	100.12	7.687	7.102	
46	1.928	1.929	124.401	124.450	100.04	7.687	7.107	
47	1.927	1.927	124.350	124.350	100.00	7.683	7.096	
48	1.926	1.927	124.262	124.300	100.03	7.680	7.096	
49	1.925	1.926	124.210	124.250	100.03	7.677	7.090	
50	1.924	1.924	124.120	124.150	100.02	7.674	7.085	
51	1.924	1.925	124.139	124.200	100.05	7.672	7.091	
52	1.925	1.925	124.161	124.225	100.05	7.671	7.095	
53	1.923	1.922	124.088	124.000	99.93	7.667	7.072	
54	1.921	1.922	123.909	123.975	100.05	7.663	7.070	
55	1.920	1.921	123.893	123.952	100.05	7.660	7.072	
56	1.920	1.921	123.879	123.926	100.04	7.657	7.071	
57	1.920	1.921	123.864	123.906	100.03	7.656	7.072	
58	1.919	1.919	123.798	123.775	99.98	7.649	7.057	
59	1.917	1.917	123.662	123.701	100.03	7.649	7.053	
60	1.916	1.917	123.615	123.650	100.03	7.645	7.047	
61	1.914	1.915	123.487	123.550	100.05	7.641	7.039	
62	1.913	1.914	123.443	123.500	100.05	7.640	7.036	
63	1.914	1.915	123.478	123.550	100.06	7.637	7.045	
64	1.914	1.914	123.488	123.500	100.01	7.635	7.036	
65	1.912	1.912	123.342	123.375	100.03	7.635	7.028	
66	1.910	1.911	123.233	123.275	100.03	7.628	7.021	
67	1.909	1.910	123.192	123.250	100.05	7.625	7.018	
68	1.908	1.909	123.120	123.175	100.04	7.623	7.014	
